01	68881,0.6666666666666666;68882,0.6666666666666666;68883,0.6666666666666666;68884,0.6666666666666666;68885,0.6666666666666666;68886,0.6666666666666666;68887,0.6666666666666666;68888,0.6666666666666666;68889,0.6666666666666666;72113,0.6666666666666666;72114,0.6666666666666666;72115,0.6666666666666666;72116,0.6666666666666666;72117,0.6666666666666666;72118,0.6666666666666666;72119,0.6666666666666666;72120,0.6666666666666666;72121,0.6666666666666666;72122,0.6666666666666666
2012	68881,0.3333333333333333;68882,0.3333333333333333;68883,0.3333333333333333;68884,0.3333333333333333;68885,0.3333333333333333;68886,0.3333333333333333;68887,0.3333333333333333;68888,0.3333333333333333;68889,0.3333333333333333;69177,0.3333333333333333;69178,0.3333333333333333;69179,0.3333333333333333;69180,0.3333333333333333;69181,0.3333333333333333;69182,0.3333333333333333;69183,0.3333333333333333;69184,0.3333333333333333;69185,0.3333333333333333;69186,0.3333333333333333;69533,0.3333333333333333;69534,0.3333333333333333;69535,0.3333333333333333;69536,0.3333333333333333;69537,0.3333333333333333;69538,0.3333333333333333;69539,0.3333333333333333;69540,0.3333333333333333;69541,0.3333333333333333;69542,0.3333333333333333;69543,0.3333333333333333;69811,0.3333333333333333;69812,0.3333333333333333;69813,0.3333333333333333;69814,0.3333333333333333;69815,0.3333333333333333;69816,0.3333333333333333;69817,0.3333333333333333;69818,0.3333333333333333;69819,0.3333333333333333;69820,0.3333333333333333;69821,0.3333333333333333;70161,0.3333333333333333;70162,0.3333333333333333;70163,0.3333333333333333;70164,0.3333333333333333;70165,0.3333333333333333;70166,0.3333333333333333;70167,0.3333333333333333;70168,0.3333333333333333;70169,0.3333333333333333;70170,0.3333333333333333;70420,0.3333333333333333;70421,0.3333333333333333;70422,0.3333333333333333;70423,0.3333333333333333;70424,0.3333333333333333;70425,0.3333333333333333;70426,0.3333333333333333;70428,0.3333333333333333;70429,0.3333333333333333;70743,0.3333333333333333;70744,0.3333333333333333;70745,0.3333333333333333;70746,0.3333333333333333;70747,0.3333333333333333;70748,0.3333333333333333;70749,0.3333333333333333;70751,0.3333333333333333;70752,0.3333333333333333;70753,0.3333333333333333;70914,0.3333333333333333;70915,0.3333333333333333;70916,0.3333333333333333;70917,0.3333333333333333;70918,0.3333333333333333;70919,0.3333333333333333;70920,0.3333333333333333;70921,0.3333333333333333;70922,0.3333333333333333;70923,0.3333333333333333;71357,0.3333333333333333;71358,0.3333333333333333;71359,0.3333333333333333;71360,0.3333333333333333;71361,0.3333333333333333;71362,0.3333333333333333;71363,0.3333333333333333;71366,0.3333333333333333;71612,0.3333333333333333;71614,0.3333333333333333;71615,0.3333333333333333;71616,0.3333333333333333;71617,0.3333333333333333;71618,0.3333333333333333;71619,0.3333333333333333;71620,0.3333333333333333;71621,0.3333333333333333;71835,0.3333333333333333;71836,0.3333333333333333;71837,0.3333333333333333;71838,0.3333333333333333;71839,0.3333333333333333;71840,0.3333333333333333;71841,0.3333333333333333;71842,0.3333333333333333;71843,0.3333333333333333;71845,0.3333333333333333
02	69177,0.3333333333333333;69178,0.3333333333333333;69179,0.3333333333333333;69180,0.3333333333333333;69181,0.3333333333333333;69182,0.3333333333333333;69183,0.3333333333333333;69184,0.3333333333333333;69185,0.3333333333333333;69186,0.3333333333333333;72392,0.3333333333333333;72393,0.3333333333333333;72394,0.3333333333333333;72395,0.3333333333333333;72396,0.3333333333333333;72397,0.3333333333333333;72398,0.3333333333333333;72399,0.3333333333333333;72400,0.3333333333333333;72401,0.3333333333333333;75063,0.3333333333333333;75064,0.3333333333333333;75065,0.3333333333333333;75066,0.3333333333333333;75067,0.3333333333333333;75068,0.3333333333333333;75069,0.3333333333333333;75070,0.3333333333333333;75071,0.3333333333333333
26	69533,0.3333333333333333;69534,0.3333333333333333;69535,0.3333333333333333;69536,0.3333333333333333;69537,0.3333333333333333;69538,0.3333333333333333;69539,0.3333333333333333;69540,0.3333333333333333;69541,0.3333333333333333;69542,0.3333333333333333;69543,0.3333333333333333;72629,0.3333333333333333;72630,0.3333333333333333;72631,0.3333333333333333;72632,0.3333333333333333;72633,0.3333333333333333;72634,0.3333333333333333;72635,0.3333333333333333;72636,0.3333333333333333;72637,0.3333333333333333
03	69533,0.3333333333333333;69534,0.3333333333333333;69535,0.3333333333333333;69536,0.3333333333333333;69537,0.3333333333333333;69538,0.3333333333333333;69539,0.3333333333333333;69540,0.3333333333333333;69541,0.3333333333333333;69542,0.3333333333333333;69543,0.3333333333333333;72629,0.3333333333333333;72630,0.3333333333333333;72631,0.3333333333333333;72632,0.3333333333333333;72633,0.3333333333333333;72634,0.3333333333333333;72635,0.3333333333333333;72636,0.3333333333333333;72637,0.3333333333333333;75457,0.3333333333333333;75458,0.3333333333333333;75459,0.3333333333333333;75460,0.3333333333333333;75461,0.3333333333333333;75462,0.3333333333333333;75463,0.3333333333333333;75464,0.3333333333333333;75465,0.3333333333333333;75466,0.3333333333333333
04	69811,0.3333333333333333;69812,0.3333333333333333;69813,0.3333333333333333;69814,0.3333333333333333;69815,0.3333333333333333;69816,0.3333333333333333;69817,0.3333333333333333;69818,0.3333333333333333;69819,0.3333333333333333;69820,0.3333333333333333;69821,0.3333333333333333;72932,0.3333333333333333;72933,0.3333333333333333;72934,0.3333333333333333;72935,0.3333333333333333;72936,0.3333333333333333;72937,0.3333333333333333;72938,0.3333333333333333;72939,0.3333333333333333;72940,0.3333333333333333
31	70161,0.3333333333333333;70162,0.3333333333333333;70163,0.3333333333333333;70164,0.3333333333333333;70165,0.3333333333333333;70166,0.3333333333333333;70167,0.3333333333333333;70168,0.3333333333333333;70169,0.3333333333333333;70170,0.3333333333333333;72113,0.3333333333333333;72114,0.3333333333333333;72115,0.3333333333333333;72116,0.3333333333333333;72117,0.3333333333333333;72118,0.3333333333333333;72119,0.3333333333333333;72120,0.3333333333333333;72121,0.3333333333333333;72122,0.3333333333333333
05	70161,0.3333333333333333;70162,0.3333333333333333;70163,0.3333333333333333;70164,0.3333333333333333;70165,0.3333333333333333;70166,0.3333333333333333;70167,0.3333333333333333;70168,0.3333333333333333;70169,0.3333333333333333;70170,0.3333333333333333;75788,0.3333333333333333;75789,0.3333333333333333;75790,0.3333333333333333;75791,0.3333333333333333;75792,0.3333333333333333;75793,0.3333333333333333;75794,0.3333333333333333;75795,0.3333333333333333;75796,0.3333333333333333;75797,0.3333333333333333
9	70743,0.3333333333333333;70744,0.3333333333333333;70745,0.3333333333333333;70746,0.3333333333333333;70747,0.3333333333333333;70748,0.3333333333333333;70749,0.3333333333333333;70751,0.3333333333333333;70752,0.3333333333333333;70753,0.3333333333333333
8	71357,0.3333333333333333;71358,0.3333333333333333;71359,0.3333333333333333;71360,0.3333333333333333;71361,0.3333333333333333;71362,0.3333333333333333;71363,0.3333333333333333;71366,0.3333333333333333
