Evénement	67392,1;67561,1;67803,1;67804,1;67945,1;67946,1;68889,1;69186,1;69542,1;69543,1;69820,1;70168,1;70169,1;70170,1;70428,1;70749,1;70751,1;70752,1;71363,1;71620,1;71845,1;72120,1;72121,1;72122,1;72399,1;72400,1;72937,1;72938,1;72939,1;73190,1;73438,1;73689,1;73690,1;73691,1;73881,1;73882,1;73883,1;73884,1;74174,1;74175,1;74176,1;74456,1;75071,1;75464,1;75465,1;75466,1;75795,1;75796,1;75797,1;76212,1;76514,1;76515,1;76516,1
Au	67798,1;67943,1;68279,1;68387,1;68643,1;68885,1;69182,1;69817,1;70166,1;70745,1;70921,1;71361,1;71842,1;72117,1;72118,1;72395,1;73434,1;73435,1;73878,1;74455,1;74748,1;75066,1;75067,1;75068,1;75461,1;75792,1;76511,1;76512,1
coeur	67798,1;67943,1;68279,1;68387,1;68643,1;68885,1;69182,1;69817,1;70166,1;70745,1;70921,1;71361,1;71842,1;72117,1;72118,1;72395,1;73434,1;73435,1;73878,1;74455,1;74748,1;75066,1;75067,1;75068,1;75461,1;75792,1;76511,1;76512,1
régions	67798,1;67943,1;68279,1;68387,1;68643,1;68885,1;69182,1;69817,1;70166,1;70745,1;70921,1;71361,1;71842,1;72117,1;72118,1;72395,1;73434,1;73435,1;73878,1;74455,1;74748,1;75066,1;75067,1;75068,1;75461,1;75792,1;76511,1;76512,1
Horizon	67944,1;69185,1;70426,1;70748,1;71362,1;71619,1;72398,1;72636,1;72637,1;72936,1;73437,1
Enseignement	67944,1;68281,1;68392,1;68393,1;68888,1;69185,1;69541,1;70426,1;70748,1;70923,1;71362,1;72398,1;72636,1;72637,1;72936,1;74751,1;76211,1;76513,1
Horizons	68281,1;68392,1;68393,1;68888,1;69541,1;70923,1;74751,1;76211,1;76513,1
A	68283,1;69821,1;70429,1;70753,1;71366,1;71621,1;72401,1;72940,1;74457,1;74752,1;76213,1
lire	68283,1;69821,1;70429,1;70753,1;71366,1;71621,1;72401,1;72940,1;74457,1;74752,1;76213,1
Actualités	69538,1;73433,1;75460,1;76509,1;76510,1
Innovations	69538,1;75460,1;76509,1;76510,1
Pôles	69818,1
formation	71619,1
Laboratoires	72397,1
enseignement	73437,1
labos	75463,1
Formation	76211,1
