francois	67383,0.125;69182,0.034482758620689655
pierrot	67383,0.125
lirmm	67383,0.125
Inria	67385,0.05555555555555555;67386,0.05555555555555555
Sophia	67385,0.05555555555555555
Antipolis	67385,0.05555555555555555
Méditerranée	67385,0.05555555555555555;67389,0.04
Olivier	67385,0.05555555555555555;68642,0.038461538461538464
Bernard	67385,0.05555555555555555;70167,0.024390243902439025;76507,0.08333333333333333
tél	67385,0.05555555555555555;67386,0.05555555555555555;67387,0.04878048780487805;67389,0.04;67390,0.05555555555555555;67391,0.05;67553,0.047619047619047616;67556,0.044444444444444446;67557,0.043478260869565216;67561,0.1111111111111111;67797,0.125;67801,0.05555555555555555;67802,0.0625;67937,0.058823529411764705;67939,0.04;67941,0.05555555555555555;67942,0.0625;67943,0.0625;67944,0.05263157894736842;67945,0.04;68276,0.05263157894736842;68277,0.05263157894736842;68278,0.058823529411764705;68280,0.0625;68281,0.05555555555555555;68383,0.03125;68384,0.037037037037037035;68385,0.0625;68388,0.047619047619047616;68389,0.058823529411764705;68390,0.038461538461538464;68391,0.058823529411764705;68392,0.05263157894736842;68393,0.05555555555555555;68638,0.041666666666666664;68639,0.058823529411764705;68640,0.0625;68641,0.058823529411764705;68642,0.038461538461538464;68644,0.06666666666666667;68645,0.038461538461538464;68883,0.05263157894736842;68886,0.0625;68887,0.05;68888,0.05555555555555555;69177,0.07692307692307693;69178,0.0625;69179,0.07692307692307693;69182,0.034482758620689655;69183,0.03225806451612903;69184,0.041666666666666664;69185,0.058823529411764705;69536,0.04878048780487805;69537,0.058823529411764705;69538,0.05555555555555555;69539,0.0625;69540,0.047619047619047616;69541,0.09090909090909091;69813,0.0625;69814,0.06666666666666667;69816,0.05263157894736842;69819,0.05555555555555555;70161,0.045454545454545456;70163,0.0625;70167,0.04878048780487805;70168,0.0625;70421,0.0625;70422,0.02702702702702703;70423,0.041666666666666664;70424,0.0625;70425,0.0625;70426,0.05555555555555555;70429,0.05263157894736842;70743,0.05;70744,0.038461538461538464;70748,0.0625;70751,0.07142857142857142;70916,0.045454545454545456;70917,0.058823529411764705;70918,0.06666666666666667;70919,0.0625;70920,0.09090909090909091;70921,0.05;70922,0.047619047619047616;70923,0.05263157894736842;71358,0.0625;71361,0.0625;71362,0.05555555555555555;71612,0.027777777777777776;71614,0.05263157894736842;71618,0.05;71621,0.04878048780487805;71835,0.038461538461538464;71836,0.06451612903225806;71837,0.058823529411764705;71838,0.0625;71840,0.05263157894736842;72113,0.041666666666666664;72114,0.058823529411764705;72117,0.041666666666666664;72119,0.05263157894736842;72392,0.06060606060606061;72395,0.038461538461538464;72397,0.05263157894736842;72398,0.058823529411764705;72399,0.05555555555555555;72630,0.047619047619047616;72632,0.05;72635,0.0625;72934,0.023809523809523808;72936,0.041666666666666664;72939,0.03571428571428571;72940,0.047619047619047616;73182,0.041666666666666664;73183,0.045454545454545456;73186,0.05263157894736842;73188,0.05;73189,0.058823529411764705;73190,0.047619047619047616;73430,0.034482758620689655;73431,0.045454545454545456;73433,0.05263157894736842;73434,0.0625;73436,0.038461538461538464;73683,0.045454545454545456;73687,0.058823529411764705;73688,0.047619047619047616;73689,0.047619047619047616;73875,0.05;73876,0.045454545454545456;73882,0.02702702702702703;73883,0.058823529411764705;74167,0.014285714285714285;74170,0.047619047619047616;74172,0.0625;74173,0.043478260869565216;74176,0.043478260869565216;74452,0.058823529411764705;74744,0.047619047619047616;74745,0.047619047619047616;74750,0.0625;74751,0.043478260869565216;74752,0.05263157894736842;75066,0.0625;75067,0.05263157894736842;75068,0.05263157894736842;75070,0.058823529411764705;75457,0.0625;75460,0.05;75463,0.0625;75788,0.058823529411764705;75791,0.047619047619047616;76208,0.05263157894736842;76209,0.0625;76210,0.05555555555555555;76211,0.05;76212,0.041666666666666664;76512,0.05555555555555555;76513,0.05
