fim11_pro_colloque	67803,0.07142857142857142
htm	67803,0.07142857142857142;69821,0.1;72934,0.023809523809523808;72939,0.03571428571428571;74167,0.02857142857142857;74171,0.029411764705882353;74454,0.07407407407407407;75458,0.02857142857142857
FFA2011	67804,0.14285714285714285
forumforagriculture	67804,0.2857142857142857
info	67804,0.14285714285714285
CNRS	67937,0.058823529411764705;68278,0.058823529411764705;68390,0.038461538461538464;69178,0.0625;69180,0.1111111111111111;70425,0.0625;72939,0.03571428571428571;72940,0.047619047619047616;74452,0.058823529411764705;75458,0.02857142857142857
Elsa	67937,0.058823529411764705
Champion	67937,0.058823529411764705
43	67937,0.058823529411764705;67945,0.04;68383,0.03125;69540,0.047619047619047616;70744,0.038461538461538464;73431,0.045454545454545456;73436,0.038461538461538464
90	67937,0.058823529411764705;73688,0.047619047619047616;75788,0.058823529411764705;75791,0.047619047619047616
elsa	67937,0.058823529411764705
champion	67937,0.058823529411764705
dir	67937,0.058823529411764705;68278,0.058823529411764705;68642,0.038461538461538464;69180,0.1111111111111111;72939,0.03571428571428571;74452,0.058823529411764705
Editions	67938,0.2;68882,0.05263157894736842;72401,0.125;72940,0.047619047619047616;74457,0.16666666666666666;74752,0.05263157894736842;76213,0.07692307692307693
Eyrolles	67938,0.2
eyrolles	67938,0.2
Pierre	67939,0.04;68881,0.05263157894736842;73876,0.045454545454545456;76213,0.07692307692307693
Simon	67939,0.04
Laplace	67939,0.04
IPSL	67939,0.04
Météorologie	67939,0.04;70916,0.022727272727272728
Dynamique	67939,0.04;70916,0.022727272727272728
LMD	67939,0.04
Rémy	67939,0.04
Roca	67939,0.04
27	67939,0.04;68277,0.05263157894736842;68385,0.0625;68638,0.041666666666666664;68640,0.0625;68886,0.0625;70744,0.038461538461538464;70922,0.047619047619047616;71835,0.038461538461538464;72392,0.06060606060606061;72940,0.047619047619047616;73882,0.02702702702702703;74168,0.07142857142857142;75458,0.02857142857142857
roca	67939,0.04
lmd	67939,0.04;70916,0.022727272727272728
jussieu	67939,0.04
Projet	67940,0.1111111111111111;73683,0.045454545454545456
SYSIASS	67940,0.1111111111111111
sysiass	67940,0.1111111111111111
ISEN	67940,0.1111111111111111
isen	67940,0.1111111111111111
DGA	67941,0.05555555555555555
Bruno	67941,0.05555555555555555;68642,0.038461538461538464;73186,0.05263157894736842;73430,0.034482758620689655
Daffix	67941,0.05555555555555555
46	67941,0.05555555555555555;68278,0.058823529411764705;68388,0.047619047619047616;68883,0.05263157894736842;69539,0.0625;70421,0.0625;72117,0.041666666666666664;73188,0.05;73433,0.05263157894736842;75067,0.05263157894736842;75460,0.05
bruno	67941,0.05555555555555555;68642,0.038461538461538464;73430,0.034482758620689655
daffix	67941,0.05555555555555555
dga	67941,0.05555555555555555
gouv	67941,0.05555555555555555;69535,0.16666666666666666
CNES	67942,0.0625;69177,0.07692307692307693;69179,0.07692307692307693;69813,0.0625;70163,0.0625;70424,0.0625;71836,0.03225806451612903;73434,0.0625
Gwenaëlle	67942,0.0625
Verpeaux	67942,0.0625
74	67942,0.0625;69538,0.05555555555555555;71836,0.03225806451612903;72936,0.041666666666666664;73430,0.034482758620689655;74751,0.043478260869565216;76211,0.05
gwenaelle	67942,0.0625
verpeaux	67942,0.0625
cnes	67942,0.0625;69177,0.07692307692307693;69179,0.07692307692307693;69813,0.0625;70163,0.0625;70424,0.0625;71836,0.06451612903225806;73434,0.0625
Marie	67943,0.0625;69184,0.041666666666666664;72399,0.05555555555555555
Vandermersch	67943,0.0625
64	67943,0.0625;67945,0.04;68276,0.05263157894736842;68385,0.0625;68393,0.05555555555555555;68638,0.041666666666666664;68640,0.0625;68886,0.0625;70161,0.045454545454545456;70422,0.02702702702702703;70919,0.0625;70923,0.05263157894736842;71361,0.0625;71838,0.0625;72392,0.030303030303030304;74168,0.07142857142857142;74744,0.047619047619047616;74745,0.047619047619047616;75457,0.0625
50	67943,0.0625;68385,0.0625;68390,0.038461538461538464;68638,0.041666666666666664;68640,0.0625;68886,0.0625;70425,0.0625;70919,0.0625;71838,0.0625;72114,0.058823529411764705;72392,0.030303030303030304;72395,0.038461538461538464;74168,0.07142857142857142;74744,0.047619047619047616;74745,0.047619047619047616;76210,0.05555555555555555
16	67943,0.0625;70743,0.05
marie	67943,0.0625;72399,0.05555555555555555
vandermersch	67943,0.0625
ENSTA	67944,0.05263157894736842
Bretagne	67944,0.05263157894736842
Ingrid	67944,0.05263157894736842;71621,0.024390243902439025
Le	67944,0.05263157894736842;68883,0.10526315789473684;71621,0.024390243902439025;72401,0.125;73433,0.05263157894736842;75458,0.02857142857142857;75460,0.05;76509,0.058823529411764705
Toutouze	67944,0.05263157894736842
2	67944,0.05263157894736842;68281,0.05555555555555555;68384,0.07407407407407407;69538,0.1111111111111111;70743,0.05;71618,0.05;73436,0.038461538461538464;74170,0.14285714285714285;74175,0.1111111111111111;75068,0.15789473684210525
88	67944,0.05263157894736842;69539,0.0625;70167,0.04878048780487805;73189,0.058823529411764705;74744,0.047619047619047616;74745,0.047619047619047616;75070,0.058823529411764705
ingrid	67944,0.05263157894736842
letoutouze	67944,0.05263157894736842
ensta	67944,0.05263157894736842
bretagne	67944,0.05263157894736842
Univerité	67945,0.04
Est	67945,0.04
Créteil	67945,0.04
Val	67945,0.04
Marne	67945,0.04
Gaspard	67945,0.04
Dussort	67945,0.04
13	67945,0.04;68888,0.1111111111111111;70426,0.1111111111111111;72936,0.041666666666666664;72940,0.047619047619047616;74751,0.043478260869565216;76211,0.05
dussort	67945,0.04
pec	67945,0.04
iutsf	67945,0.04
Connexions	67946,0.05263157894736842
R	67946,0.05263157894736842
D	67946,0.05263157894736842
connexions	67946,0.05263157894736842
rd	67946,0.05263157894736842
Cosmetic	67946,0.05263157894736842
Valley	67946,0.05263157894736842;68641,0.058823529411764705;74746,0.09090909090909091
Caroline	67946,0.05263157894736842
Crabbe	67946,0.05263157894736842
carolinecrabbe	67946,0.05263157894736842
wanadoo	67946,0.05263157894736842;72116,0.125;76213,0.07692307692307693;76511,0.1111111111111111
cosmetic	67946,0.05263157894736842
valley	67946,0.05263157894736842
Janny	68273,0.15384615384615385
MT	68273,0.07692307692307693
Benoit	68273,0.07692307692307693
jannymt	68273,0.15384615384615385
Site	68273,0.07692307692307693
Internet	68273,0.07692307692307693
jannymet	68273,0.07692307692307693
Laurent	68274,0.16666666666666666;68881,0.05263157894736842;69537,0.058823529411764705;73184,0.07142857142857142;75459,0.07142857142857142
Colasse	68274,0.16666666666666666
laurentcolasse	68274,0.16666666666666666
gmail	68274,0.16666666666666666;68881,0.05263157894736842;73185,0.07692307692307693;75458,0.02857142857142857;76509,0.058823529411764705
GEOSUD	68275,0.2
geosud	68275,0.2
teledetection	68275,0.2
Arts	68276,0.05263157894736842;68393,0.05555555555555555;70161,0.045454545454545456;70422,0.05405405405405406;70923,0.05263157894736842;73882,0.05405405405405406;75791,0.047619047619047616
Métiers	68276,0.05263157894736842;68393,0.05555555555555555;70161,0.045454545454545456;70422,0.05405405405405406;70923,0.05263157894736842;73882,0.05405405405405406;75791,0.047619047619047616
Tech	68276,0.05263157894736842;74450,0.09090909090909091
Aurore	68276,0.05263157894736842;68393,0.05555555555555555;70161,0.045454545454545456;70422,0.02702702702702703;70923,0.05263157894736842;75457,0.0625
Tixier	68276,0.05263157894736842;68393,0.05555555555555555;70161,0.045454545454545456;70422,0.02702702702702703;70923,0.05263157894736842;75457,0.0625
24	68276,0.05263157894736842;68393,0.05555555555555555;68642,0.038461538461538464;69185,0.058823529411764705;70161,0.045454545454545456;70422,0.02702702702702703;70923,0.05263157894736842;73883,0.058823529411764705;75070,0.058823529411764705;75457,0.0625
35	68276,0.05263157894736842;68278,0.058823529411764705;68393,0.05555555555555555;68887,0.05;70161,0.045454545454545456;70422,0.02702702702702703;70748,0.03125;70923,0.05263157894736842;72119,0.02631578947368421;72630,0.047619047619047616;74173,0.043478260869565216;74752,0.05263157894736842;75457,0.0625
aurore	68276,0.05263157894736842;68393,0.05555555555555555;70161,0.045454545454545456;70422,0.02702702702702703;70923,0.05263157894736842;75457,0.0625
tixier	68276,0.05263157894736842;68393,0.05555555555555555;70161,0.045454545454545456;70422,0.02702702702702703;70923,0.05263157894736842;75457,0.0625
ensam	68276,0.05263157894736842;68393,0.05555555555555555;70161,0.045454545454545456;70422,0.05405405405405406;70923,0.05263157894736842;75457,0.0625;75791,0.047619047619047616
UPMC	68277,0.05263157894736842
Claire	68277,0.05263157894736842;69185,0.058823529411764705;72117,0.041666666666666664;72398,0.058823529411764705;72934,0.023809523809523808;75067,0.05263157894736842
Thoisy	68277,0.05263157894736842
Méchin	68277,0.05263157894736842
23	68277,0.05263157894736842;69538,0.05555555555555555
claire	68277,0.05263157894736842;72398,0.058823529411764705;72934,0.023809523809523808
de_thoisy	68277,0.05263157894736842
mechin	68277,0.05263157894736842
upmc	68277,0.05263157894736842;70744,0.038461538461538464
Julien	68278,0.058823529411764705;69177,0.07692307692307693;69179,0.07692307692307693;69180,0.1111111111111111;69813,0.0625;70163,0.0625;70424,0.0625;73434,0.0625
Guillaume	68278,0.058823529411764705;69180,0.1111111111111111;75070,0.058823529411764705
julien	68278,0.058823529411764705;69177,0.07692307692307693;69179,0.07692307692307693;69180,0.1111111111111111;69813,0.0625;70163,0.0625;70424,0.0625;73434,0.0625
guillaume	68278,0.058823529411764705;69180,0.1111111111111111
ARTEMIS	68279,0.1111111111111111;73884,0.018518518518518517
Gérard	68279,0.1111111111111111;71843,0.07142857142857142;72630,0.047619047619047616
Million	68279,0.1111111111111111
gerard	68279,0.1111111111111111;72630,0.047619047619047616;73881,0.0625
million	68279,0.1111111111111111
cereales	68279,0.1111111111111111
ESPCI	68280,0.0625;70747,0.125;74750,0.0625
Ludwik	68280,0.0625;74750,0.0625
Leibler	68280,0.0625;74750,0.0625
79	68280,0.0625;72635,0.0625;74750,0.0625
25	68280,0.0625;68388,0.047619047619047616;71361,0.0625;72119,0.05263157894736842;74750,0.0625
ludwik	68280,0.0625;74750,0.0625
leibler	68280,0.0625;74750,0.0625
ESSCA	68281,0.05555555555555555
Joëlle	68281,0.05555555555555555
Isaac	68281,0.05555555555555555
Moine	68281,0.05555555555555555
41	68281,0.05555555555555555;68392,0.05263157894736842;68888,0.05555555555555555;69536,0.024390243902439025;70167,0.04878048780487805;70426,0.05555555555555555;70748,0.03125;71618,0.05;72119,0.02631578947368421;72936,0.041666666666666664;73436,0.038461538461538464;74751,0.043478260869565216;75066,0.0625;76211,0.05;76513,0.05
78	68281,0.05555555555555555;69177,0.07692307692307693;69179,0.07692307692307693;69813,0.0625;70163,0.0625;70424,0.0625;72119,0.05263157894736842;73430,0.034482758620689655;73434,0.0625;74172,0.0625;76209,0.0625
joelle	68281,0.05555555555555555
isaac	68281,0.05555555555555555
moine	68281,0.05555555555555555
essca	68281,0.05555555555555555
forets	68283,0.125
Association	68383,0.03125
Centraliens	68383,0.03125
Grace	68383,0.03125
Ferreira	68383,0.03125
responsable	68383,0.03125;72395,0.038461538461538464
communication	68383,0.03125;70161,0.045454545454545456;72632,0.05
68	68383,0.03125;68389,0.058823529411764705;69183,0.03225806451612903;75789,0.05
grace	68383,0.03125
ferreira	68383,0.03125
centraliens	68383,0.0625
Armand	68383,0.03125
Colin	68383,0.03125
armand	68383,0.03125
colin	68383,0.03125
INRA	68384,0.037037037037037035;68882,0.05263157894736842;69182,0.06896551724137931;69537,0.058823529411764705;69538,0.05555555555555555;69812,0.1;69817,0.1;70746,0.1;71357,0.038461538461538464;71618,0.05;71837,0.058823529411764705;73432,0.07692307692307693;75069,0.058823529411764705
Tours	68384,0.037037037037037035
Pineau	68384,0.037037037037037035
Chef	68384,0.037037037037037035
Département	68384,0.037037037037037035;75792,0.05555555555555555
Santé	68384,0.037037037037037035;75459,0.07142857142857142
Animale	68384,0.037037037037037035
47	68384,0.037037037037037035
75	68384,0.037037037037037035;68641,0.058823529411764705;70425,0.0625;71836,0.03225806451612903;72392,0.030303030303030304;74176,0.043478260869565216
sa	68384,0.037037037037037035;74167,0.014285714285714285
tours	68384,0.037037037037037035;72938,0.16666666666666666
NewVectys	68384,0.037037037037037035
newvectys	68384,0.037037037037037035
Laveissière	68385,0.0625;68638,0.041666666666666664;68640,0.0625;68886,0.0625;70914,0.0625;72392,0.030303030303030304;74168,0.07142857142857142
53	68385,0.0625;68388,0.047619047619047616;68638,0.041666666666666664;68640,0.0625;68886,0.0625;70429,0.05263157894736842;72113,0.041666666666666664;72392,0.030303030303030304;72397,0.05263157894736842;72399,0.05555555555555555;72940,0.047619047619047616;73182,0.041666666666666664;73688,0.047619047619047616;74168,0.07142857142857142
Science	68386,0.16666666666666666;72117,0.041666666666666664;75067,0.05263157894736842
Europe	68386,0.16666666666666666
scienceeurope	68386,0.16666666666666666
org	68386,0.16666666666666666;68641,0.058823529411764705;69821,0.1;70422,0.02702702702702703;70916,0.022727272727272728;71363,0.14285714285714285;73183,0.09090909090909091;73185,0.07692307692307693;73683,0.045454545454545456;73882,0.02702702702702703;75465,0.16666666666666666
Biochimie	68387,0.07142857142857142;74173,0.043478260869565216
Métabolique	68387,0.07142857142857142
Nutritionnelle	68387,0.07142857142857142
LBMN	68387,0.07142857142857142
Norbert	68387,0.07142857142857142
Latruffe	68387,0.07142857142857142
latruffe	68387,0.07142857142857142
bourgogne	68387,0.07142857142857142;73184,0.07142857142857142;75459,0.07142857142857142;76206,0.1111111111111111
Vision	68388,0.047619047619047616
UMRS	68388,0.047619047619047616
968	68388,0.047619047619047616
William	68388,0.047619047619047616
Rostene	68388,0.047619047619047616
william	68388,0.047619047619047616
rostene	68388,0.047619047619047616
Romain	68389,0.058823529411764705;70746,0.1
Bertrand	68389,0.058823529411764705
3	68389,0.29411764705882354;70167,0.17073170731707318;70425,0.1875;70751,0.21428571428571427;70921,0.25;71361,0.1875;71621,0.17073170731707318;71837,0.29411764705882354;75070,0.17647058823529413;75791,0.19047619047619047;76209,0.1875
83	68389,0.058823529411764705;71837,0.058823529411764705;72399,0.05555555555555555;72632,0.05
romain	68389,0.058823529411764705;70746,0.1
bertrand	68389,0.058823529411764705
engref	68389,0.058823529411764705
Synthèse	68390,0.038461538461538464
Fonctionnalisation	68390,0.038461538461538464
Céramiques	68390,0.038461538461538464
Saint	68390,0.038461538461538464;69819,0.05555555555555555;76210,0.05555555555555555
Gobain	68390,0.038461538461538464;69819,0.05555555555555555;76210,0.05555555555555555
Sylvain	68390,0.038461538461538464;71616,0.0625;76210,0.05555555555555555
Deville	68390,0.038461538461538464;76210,0.05555555555555555
06	68390,0.038461538461538464;75788,0.058823529411764705;76210,0.05555555555555555
59	68390,0.038461538461538464;68642,0.038461538461538464;75791,0.047619047619047616;76210,0.05555555555555555
sylvain	68390,0.038461538461538464;71616,0.0625;76210,0.05555555555555555
deville	68390,0.038461538461538464;76210,0.05555555555555555
saint	68390,0.038461538461538464;69819,0.05555555555555555;76210,0.05555555555555555
gobain	68390,0.038461538461538464;69819,0.05555555555555555;76210,0.05555555555555555
Fresnel	68391,0.058823529411764705
Virginie	68391,0.058823529411764705;74449,0.08333333333333333
Chamard	68391,0.058823529411764705
28	68391,0.11764705882352941;69178,0.0625;75068,0.05263157894736842;75788,0.058823529411764705
37	68391,0.058823529411764705;69177,0.07692307692307693;69179,0.07692307692307693;69813,0.0625;70163,0.0625;70424,0.0625;70743,0.05;72939,0.03571428571428571;73431,0.045454545454545456;73434,0.0625
virginie	68391,0.058823529411764705;74449,0.08333333333333333
chamard	68391,0.058823529411764705
fresnel	68391,0.058823529411764705
Université	68392,0.05263157894736842;68884,0.09090909090909091;69536,0.024390243902439025;69816,0.05263157894736842;70748,0.03125;72397,0.05263157894736842;73881,0.0625;75788,0.058823529411764705
Sud	68392,0.05263157894736842;69536,0.024390243902439025;69816,0.05263157894736842;70748,0.03125;71621,0.024390243902439025
Cécile	68392,0.05263157894736842;69536,0.024390243902439025;70748,0.03125
Pérol	68392,0.05263157894736842;69536,0.024390243902439025;70748,0.03125
99	68392,0.05263157894736842;69182,0.034482758620689655;69536,0.024390243902439025;69537,0.058823529411764705;70748,0.03125;71621,0.04878048780487805
cecile	68392,0.05263157894736842;69536,0.024390243902439025;70748,0.03125
perol	68392,0.05263157894736842;69536,0.024390243902439025;70748,0.03125
psud	68392,0.05263157894736842;69183,0.03225806451612903;69536,0.024390243902439025;69816,0.05263157894736842;70748,0.03125;72932,0.1111111111111111
ParisTech	68393,0.05555555555555555;70161,0.045454545454545456;70422,0.05405405405405406;70923,0.05263157894736842;75791,0.047619047619047616
IZEST	68638,0.041666666666666664;72934,0.023809523809523808
int	68638,0.041666666666666664;69811,0.1111111111111111;73880,0.16666666666666666
zest	68638,0.041666666666666664
index	68638,0.041666666666666664;69811,0.1111111111111111;72937,0.045454545454545456;75796,0.1
html	68638,0.041666666666666664;69811,0.1111111111111111;71620,0.058823529411764705;72937,0.045454545454545456;75796,0.1
Ecole	68639,0.058823529411764705;68888,0.05555555555555555;69540,0.047619047619047616;70426,0.05555555555555555;70743,0.05;72398,0.058823529411764705;72934,0.023809523809523808;72936,0.041666666666666664;73430,0.034482758620689655;73876,0.045454545454545456;74751,0.043478260869565216;76208,0.05263157894736842;76211,0.05
Polytechnique	68639,0.058823529411764705;72398,0.058823529411764705;72934,0.023809523809523808;76208,0.05263157894736842
Nathalie	68639,0.058823529411764705
Litwin	68639,0.058823529411764705
93	68639,0.058823529411764705;73687,0.058823529411764705;76513,0.05
nathalie	68639,0.058823529411764705
litwin	68639,0.058823529411764705
polytechnique	68639,0.058823529411764705;70916,0.022727272727272728;72398,0.058823529411764705;72934,0.023809523809523808;73188,0.05;76208,0.05263157894736842
edu	68639,0.058823529411764705;72398,0.058823529411764705;72934,0.023809523809523808;73188,0.05;76208,0.05263157894736842
Optics	68641,0.058823529411764705
Lambouroud	68641,0.058823529411764705
31	68641,0.058823529411764705;69537,0.058823529411764705;71358,0.0625;71362,0.05555555555555555;71612,0.027777777777777776;72632,0.05;73687,0.058823529411764705;73689,0.047619047619047616;76212,0.041666666666666664;76512,0.05555555555555555
02	68641,0.058823529411764705;69541,0.09090909090909091;70916,0.022727272727272728;74176,0.043478260869565216;75458,0.02857142857142857
lambouroud	68641,0.058823529411764705
opticsvalley	68641,0.058823529411764705
ERA	68642,0.038461538461538464
MIN	68642,0.038461538461538464
Goffé	68642,0.038461538461538464
goffe	68642,0.038461538461538464
Vidal	68642,0.038461538461538464
vidal	68642,0.038461538461538464
Agrene	68643,0.08333333333333333
Claude	68643,0.08333333333333333;73188,0.05
Alabouvette	68643,0.08333333333333333
a	68643,0.6666666666666666
ala	68643,0.08333333333333333
agrene	68643,0.16666666666666666
LAAS	68644,0.06666666666666667;69814,0.06666666666666667;72635,0.0625
Fabrice	68644,0.06666666666666667;76207,0.06666666666666667
Séverac	68644,0.06666666666666667
fseverac	68644,0.06666666666666667
laas	68644,0.06666666666666667;69814,0.06666666666666667;72635,0.0625
Climat	68645,0.038461538461538464
Environnement	68645,0.038461538461538464;70745,0.1;72392,0.030303030303030304
lSCE	68645,0.038461538461538464
Robert	68645,0.038461538461538464;73430,0.034482758620689655;75463,0.0625
Vautard	68645,0.038461538461538464;75463,0.0625
26	68645,0.038461538461538464;69182,0.034482758620689655;73683,0.045454545454545456;75463,0.0625
robert	68645,0.038461538461538464;73430,0.034482758620689655;75463,0.0625
vautard	68645,0.038461538461538464;75463,0.0625
lsce	68645,0.038461538461538464
ipsl	68645,0.038461538461538464
EyeBrain	68646,0.16666666666666666;71841,0.1;74171,0.058823529411764705
eye	68646,0.16666666666666666;71841,0.2;74171,0.029411764705882353
brain	68646,0.16666666666666666;71841,0.2;74171,0.029411764705882353
Malier	68881,0.05263157894736842
laurent	68881,0.05263157894736842;73184,0.07142857142857142;75459,0.07142857142857142
malier	68881,0.05263157894736842
Analytical	68881,0.05263157894736842
Pixels	68881,0.05263157894736842
Technology	68881,0.05263157894736842
Braun	68881,0.05263157894736842
jeanpbraun	68881,0.05263157894736842
Quae	68882,0.05263157894736842;74457,0.16666666666666666;76213,0.07692307692307693
httlp	68882,0.05263157894736842
quae	68882,0.05263157894736842;74457,0.16666666666666666;76213,0.07692307692307693
ALISS	68882,0.05263157894736842
Louis	68882,0.05263157894736842;72116,0.125;72939,0.03571428571428571
Georges	68882,0.05263157894736842
Soler	68882,0.05263157894736842
louis	68882,0.05263157894736842;72939,0.03571428571428571
georges	68882,0.05263157894736842
soler	68882,0.05263157894736842
ivry	68882,0.05263157894736842
IFREMER	68883,0.05263157894736842
Marion	68883,0.10526315789473684;73433,0.05263157894736842;75460,0.05
Foll	68883,0.10526315789473684;73433,0.05263157894736842;75460,0.05
48	68883,0.05263157894736842;69538,0.05555555555555555;69819,0.05555555555555555;70920,0.09090909090909091;75460,0.05;75788,0.058823529411764705
ifremer	68883,0.05263157894736842;73433,0.05263157894736842;74170,0.09523809523809523;75460,0.05
Corse	68884,0.09090909090909091
Philippe	68884,0.09090909090909091;69538,0.05555555555555555;70421,0.0625;70916,0.022727272727272728;71357,0.038461538461538464;72394,0.1111111111111111;72631,0.1111111111111111;73436,0.038461538461538464;73877,0.1
Poggi	68884,0.09090909090909091
philippe	68884,0.09090909090909091;69538,0.05555555555555555;70421,0.0625;70916,0.022727272727272728;73436,0.038461538461538464;73877,0.1
poggi	68884,0.09090909090909091
corse	68884,0.09090909090909091
Génomique	68887,0.05
Patrice	68887,0.05;73683,0.045454545454545456
Mollard	68887,0.05
70	68887,0.05;72398,0.058823529411764705;72934,0.023809523809523808;73683,0.045454545454545456;75070,0.058823529411764705
patrice	68887,0.05
mollard	68887,0.05
igf	68887,0.05
Centrale	68888,0.05555555555555555;70426,0.05555555555555555;70743,0.05;72936,0.041666666666666664;73876,0.045454545454545456;74751,0.043478260869565216;76211,0.05
Alexandrine	68888,0.05555555555555555;70426,0.05555555555555555
Urbain	68888,0.05555555555555555;70426,0.05555555555555555
alexandrine	68888,0.05555555555555555;70426,0.05555555555555555
urbain	68888,0.05555555555555555;70426,0.05555555555555555
ecp	68888,0.05555555555555555;70426,0.05555555555555555;72936,0.08333333333333333;74751,0.08695652173913043;76211,0.05
Rencontres	68889,0.08333333333333333
SIG	68889,0.08333333333333333
La	68889,0.08333333333333333
Lettre	68889,0.08333333333333333
2012	68889,0.08333333333333333;70170,0.125;71620,0.058823529411764705;74167,0.014285714285714285
rencontres	68889,0.08333333333333333
sig	68889,0.08333333333333333
lettre	68889,0.08333333333333333
WATELET	69177,0.07692307692307693;69179,0.07692307692307693
watelet	69177,0.07692307692307693;69179,0.07692307692307693;69813,0.0625;70163,0.0625;70424,0.0625;73434,0.0625
Annick	69178,0.0625
Billebaud	69178,0.0625
billebaud	69178,0.0625
lpsc	69178,0.0625
in2p3	69178,0.0625;73186,0.05263157894736842
RESIF	69181,0.2
resif	69181,0.2
Montpellier	69182,0.06896551724137931;69537,0.058823529411764705;71357,0.038461538461538464
écophysiologie	69182,0.034482758620689655
plantes	69182,0.034482758620689655
sous	69182,0.034482758620689655
stress	69182,0.034482758620689655
environnementaux	69182,0.034482758620689655
SupAgro	69182,0.034482758620689655
Tardieu	69182,0.034482758620689655
tardieu	69182,0.034482758620689655
supagro	69182,0.034482758620689655;69537,0.058823529411764705;71357,0.038461538461538464
chimie	69183,0.06451612903225806
matériaux	69183,0.03225806451612903
Orsay	69183,0.03225806451612903
glycochimie	69183,0.03225806451612903
macromoléculaire	69183,0.03225806451612903
Boris	69183,0.03225806451612903
Vauzeilles	69183,0.03225806451612903
36	69183,0.03225806451612903;71362,0.05555555555555555;71612,0.027777777777777776;75068,0.05263157894736842;76512,0.05555555555555555
boris	69183,0.03225806451612903
vauzeilles	69183,0.03225806451612903
606	69184,0.041666666666666664
Os	69184,0.041666666666666664
Articulation	69184,0.041666666666666664
Christine	69184,0.041666666666666664;70168,0.0625;73190,0.047619047619047616;73685,0.058823529411764705
Vernejoul	69184,0.041666666666666664
95	69184,0.041666666666666664;72399,0.05555555555555555
58	69184,0.041666666666666664;72395,0.038461538461538464;73687,0.058823529411764705
christine	69184,0.041666666666666664;73685,0.058823529411764705
devernejoul	69184,0.041666666666666664
lrb	69184,0.041666666666666664
aphp	69184,0.041666666666666664
ESTP	69185,0.058823529411764705;73883,0.058823529411764705
Anne	69185,0.058823529411764705;72636,0.08333333333333333
Omont	69185,0.058823529411764705
acomont	69185,0.058823529411764705
adm	69185,0.058823529411764705;73883,0.058823529411764705
estp	69185,0.058823529411764705;73883,0.058823529411764705
OMNT	69186,0.07142857142857142;74174,0.07142857142857142
omnt	69186,0.14285714285714285;74174,0.07142857142857142
Pour	69186,0.07142857142857142;70915,0.037037037037037035
s	69186,0.2857142857142857;74167,0.18571428571428572
inscrire	69186,0.07142857142857142
congres	69186,0.07142857142857142;70428,0.14285714285714285;70749,0.0625;74174,0.07142857142857142;74456,0.1111111111111111
scientifique	69186,0.07142857142857142;74174,0.07142857142857142
avril2012	69186,0.07142857142857142
GIEC	69533,0.2
ipcc	69533,0.2
ch	69533,0.2
Inra	69534,0.05263157894736842;70420,0.1111111111111111
Dijon	69534,0.05263157894736842;69812,0.1;69817,0.1;72394,0.1111111111111111;72631,0.1111111111111111;74449,0.08333333333333333
Christian	69534,0.05263157894736842;72119,0.02631578947368421;73688,0.047619047619047616
Salles	69534,0.05263157894736842
salles	69534,0.05263157894736842
Datar	69535,0.16666666666666666
territoires2040	69535,0.16666666666666666
datar	69535,0.16666666666666666
Agence	69536,0.024390243902439025;72937,0.045454545454545456
française	69536,0.024390243902439025;74167,0.014285714285714285
lutte	69536,0.024390243902439025
contre	69536,0.024390243902439025
le	69536,0.07317073170731707;70915,0.1111111111111111;73433,0.05263157894736842
dopage	69536,0.024390243902439025
Israël	69536,0.024390243902439025
62	69536,0.024390243902439025;69814,0.06666666666666667;70751,0.07142857142857142;70921,0.05;71621,0.024390243902439025;72119,0.05263157894736842
israel	69536,0.024390243902439025
afld	69536,0.024390243902439025
Prévot	69537,0.058823529411764705
lprevot	69537,0.058823529411764705
Rennes	69538,0.05555555555555555
Leterme	69538,0.05555555555555555
54	69538,0.05555555555555555;69814,0.06666666666666667;70421,0.0625;73436,0.038461538461538464
leterme	69538,0.05555555555555555
agrocampus	69538,0.05555555555555555
ouest	69538,0.05555555555555555
ESRF	69539,0.0625
Antoine	69539,0.0625
Royant	69539,0.0625
antoine	69539,0.0625
royant	69539,0.0625
esrf	69539,0.0625
Normale	69540,0.047619047619047616
Supérieure	69540,0.047619047619047616
Lyon	69540,0.047619047619047616;72397,0.05263157894736842;73189,0.058823529411764705;73876,0.045454545454545456
Sergio	69540,0.047619047619047616
Ciliberto	69540,0.047619047619047616
sergio	69540,0.047619047619047616
ciliberto	69540,0.047619047619047616
ens	69540,0.047619047619047616;73189,0.058823529411764705
lyon	69540,0.047619047619047616;73189,0.058823529411764705;73876,0.045454545454545456
Supméca	69541,0.09090909090909091
Alexis	69541,0.09090909090909091
Francis	69541,0.09090909090909091;71837,0.058823529411764705;73882,0.02702702702702703
29	69541,0.09090909090909091
RIHB	69542,0.16666666666666666
hydravions	69542,0.16666666666666666
biscarrosse	69542,0.16666666666666666
MEDTEC	69543,0.2
medtecfrance	69543,0.2
ESA	69811,0.1111111111111111;73880,0.3333333333333333
esa	69811,0.1111111111111111;73880,0.16666666666666666
SPECIALS	69811,0.1111111111111111
Envisat	69811,0.1111111111111111
Lionel	69812,0.1
Ranjard	69812,0.1
lionel	69812,0.1
ranjard	69812,0.1
Watelet	69813,0.0625;70163,0.0625;70424,0.0625;73434,0.0625
Fuccio	69814,0.06666666666666667
Cristiano	69814,0.06666666666666667
fuccio	69814,0.06666666666666667
Enterome	69815,0.2
enterome	69815,0.2
Paul	69816,0.05263157894736842
